,Congressional Candidate Table 4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,Financial Activity of House Campaigns,,,,,,,,,,,,
1," January 1, 2003 through June 30, 2004",,,,,,,,,,,,
2,,,,,,,,,,,,,
3,State,District,Candidate,Party,"Incumbent/
Challenger/Open",Receipts,"Contributions 
from Individuals","Contributions
from PACs and
Other Committees","Contributions and
Loans from 
 the Candidate",Disbursements,Cash On Hand,Debts,Coverage End Date
4,Alabama,01,"BONNER, JOSIAH ROBINS JR.",Republican Party,Incumbent,800268.31,524101,268171.88,0,330545.15,482799.19,0,2004-06-30 00:00:00
5,Alabama,01,"BELK, JUDY MCCAIN",Democratic Party,Challenger,294274.89,58984.2,42330.2,187465.27,158097.75,201131.67,0,2004-06-30 00:00:00
6,Alabama,02,"EVERETT, TERRY",Republican Party,Incumbent,1659211.13,391755.37,271916.98,300150,1052110.55,824417.69,379948,2004-06-30 00:00:00
7,Alabama,03,"ROGERS, MICHAEL",Republican Party,Incumbent,1708135.08,980400.6,632078.23,0,631790.56,1094400.14,18062,2004-06-30 00:00:00
8,Alabama,03,"FULLER, BILL",Democratic Party,Challenger,173450.98,82450.98,91000,0,37490.21,135960.77,0,2004-06-30 00:00:00
9,Alabama,04,"ADERHOLT, ROBERT B",Republican Party,Incumbent,358500.96,228384.11,127054,0,181173.05,454056,84000,2004-06-30 00:00:00
10,Alabama,04,"COLE, CARL ALLEN III",Democratic Party,Challenger,18903.5,18153.5,0,0,1410.5,17493,0,2004-06-30 00:00:00
11,Alabama,05,"CRAMER, ROBERT EDWARD ""BUD"" JR",Democratic Party,Incumbent,560986.65,283105.99,252875.18,0,428118.2,1234022.27,0,2004-06-30 00:00:00
12,Alabama,05,"BAILIE, NATHAN JAMES",Republican Party,Challenger,4914,4914,0,0,4904,9,0,2004-06-01 00:00:00
13,Alabama,05,"ENGEL, STEPHEN P.",Republican Party,Challenger,5352.96,5239.02,0,113.94,5190.55,227.96,0,2004-06-30 00:00:00
14,Alabama,05,"WALLACE, GERALD C",Republican Party,Challenger,6804,6304,0,500,6492,311,0,2004-06-30 00:00:00
15,Alabama,05,"WILLIAMS, MICHAEL L.",Democratic Party,Challenger,105,0,0,105,85,29,0,2004-05-12 00:00:00
16,Alabama,06,"BACHUS, SPENCER T.",Republican Party,Incumbent,1416268.1,574612.27,737870.45,0,1007200.56,1005193.9,0,2004-06-30 00:00:00
17,Alabama,06,"JAUREGUI, PHILLIP L",Republican Party,Challenger,30808.49,24557.32,2000,4251.17,30808.49,0,0,2004-06-30 00:00:00
18,Alabama,07,"DAVIS, ARTUR GENESTRE",Democratic Party,Incumbent,918783.31,509276.2,404450.86,0,873411.68,100981.23,82975.04,2004-06-30 00:00:00
19,Alabama,07,"TURNER, ALBERT",Democratic Party,Challenger,26340,10700,0,3140,7242,19097,0,2004-03-31 00:00:00
20,Alaska,00,"YOUNG, DON E",Republican Party,Incumbent,2018979.46,1228013.73,736582.39,0,955790.82,2226722.45,0,2004-06-30 00:00:00
21,Alaska,00,"VONDERSAAR, FRANK J",Democratic Party,Challenger,800,0,0,800,500,300,800,2004-06-30 00:00:00
22,American Samoa,00,"FALEOMAVAEGA, ENI",Democratic Party,Incumbent,49950,38450,11500,0,35756.75,15741.7,13620.25,2004-06-30 00:00:00
23,American Samoa,00,"COLEMAN, AUMUA AMATA",Republican Party,Challenger,23375,23375,0,0,20116.86,3348.34,0,2004-06-30 00:00:00
24,Arizona ,01,"PRESCOTT, DIANE",Democratic Party,Open,225109.95,137507.06,1000,75991.31,225323.56,0,0,2004-06-30 00:00:00
25,Arizona ,01,"BABBITT, PAUL J JR",Democratic Party,Challenger,714568.95,509586.42,189982.53,0,211640.98,502927.97,0,2004-06-30 00:00:00
26,Arizona ,02,"CAMACHO, RANDY ROBERT",Democratic Party,Challenger,45298,25018,18500,0,37708,11816,0,2004-06-30 00:00:00
27,Arizona ,02,"MURPHY, RICK L",Republican Party,Challenger,468030,217880,0,250000,347746.72,120283.28,250000,2004-06-30 00:00:00
28,Arizona ,03,"SHADEGG, JOHN B.",Republican Party,Incumbent,523319.29,197796.14,320925.58,0,372668.93,245931.19,0,2004-06-30 00:00:00
29,Arizona ,04,"PASTOR, EDWARD L",Democratic Party,Incumbent,525719.32,156271.58,347169.25,0,230428.46,856161.99,0,2004-06-30 00:00:00
30,Arizona ,05,"HAYWORTH, JD",Republican Party,Incumbent,987567.24,616054.33,362326.37,0,616604.01,609183.81,0,2004-06-30 00:00:00
