,Congressional Candidate Table 7**,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,Financial Activity of 2021 and 2022 House Campaigns,,,,,,,,,,,,
1,"January 1, 2021 - June 30, 2022",,,,,,,,,,,,
2,,,,,,,,,,,,,
3,State,District,Candidate,Party,"Incumbent/
Challenger/Open",Receipts,"Contributions 
from Individuals","Contributions
from PACs and
Other Committees","Contributions and
Loans from 
 the Candidate",Disbursements,Cash On Hand,Debts,Coverage End Date
4,Alabama,01,"CARL, JERRY LEE, JR",Republican Party,Incumbent,798765.85,224232.31,341000,0,476705.79,434032.65,483558.41,2022-06-30 00:00:00
5,Alabama,02,"MOORE, FELIX BARRY",Republican Party,Incumbent,703736.68,432271.26,249841.75,0,282470.52,422705.21,0,2022-06-30 00:00:00
6,Alabama,02,"COLEMAN, JEFF",Republican Party,Challenger,362073.05,0,0,362063.05,362073.05,0,0,2022-06-30 00:00:00
7,Alabama,02,"HARVEY-HALL, PHYLLIS",Democratic Party,Challenger,30631.51,23417.25,0,5423,30302.96,328.55,11089.91,2022-06-30 00:00:00
8,Alabama,02,"PATEL, VIMAL",Democratic Party,Challenger,40619.54,27808.54,0,12811,28202.71,12416.83,12811,2022-03-31 00:00:00
9,Alabama,02,"SMITH, JONATHAN",Libertarian Party,Challenger,9869.25,8210.36,400,0,8926.94,942.31,0,2022-06-30 00:00:00
10,Alabama,03,"ROGERS, MICHAEL",Republican Party,Incumbent,1473833.17,785666.67,657425.81,0,1154045.03,822021.84,0,2022-06-30 00:00:00
11,Alabama,03,"BELL, DOUGLAS A.",Independent,Challenger,5125.83,1129.87,0,3995.96,5089.68,36.15,0,2022-06-30 00:00:00
12,Alabama,03,"JOINER, MICHAEL T",Republican Party,Challenger,500,500,0,0,538.99,-38.99,0,2022-05-04 00:00:00
13,Alabama,04,"ADERHOLT, ROBERT B. REP.",Republican Party,Incumbent,1156149.94,624858,521188.5,0,439380.46,1363773.87,0,2022-06-30 00:00:00
14,Alabama,04,"NEIGHBORS, RICKY",Democratic Party,Challenger,11023.5,11023.5,0,0,9784.73,2272.87,1800,2022-06-30 00:00:00
15,Alabama,05,"ROBERTS, JOHN",Republican Party,Open,167173.32,119704.38,0,47468.94,160239.68,6933.64,45000,2022-06-30 00:00:00
16,Alabama,05,"SANFORD, PAUL",Republican Party,Open,67308.97,55650.22,0,11458.75,53598.53,13819.44,10000,2022-05-04 00:00:00
17,Alabama,05,"THOMPSON, CHARLES",,Open,35028.56,10131.54,0,24897.02,34895.13,133.43,23092.16,2022-06-30 00:00:00
18,Alabama,05,"WARDYNSKI, CASEY",Republican Party,Open,777338.34,595228.34,14500,154600,759101.13,18237.21,153000,2022-06-30 00:00:00
19,Alabama,05,"WARNER-STANTON, KATHY L",Democratic Party,Open,85150,5150,0,0,81118.26,3633.52,80000,2022-06-30 00:00:00
20,Alabama,05,"WRIGHT, HARRISON GAGE WOODARD",Republican Party,Open,811,10,25,0,0,471,0,2021-12-31 00:00:00
21,Alabama,05,"BROOKS, MO*",Republican Party,Incumbent,3552274.18,3381845.62,93500,0,4193436.05,496339.31,0,2022-06-30 00:00:00
22,Alabama,05,"BLALOCK, KEVIN ANDREW",Republican Party,Challenger,51494.96,40757.82,500,10237.14,49212.24,2239.22,0,2022-05-24 00:00:00
23,Alabama,05,"STRONG, DALE WHITNEY",Republican Party,Challenger,1634593.5,1181593.5,213000,240000,1573764.44,60829.06,240000,2022-06-30 00:00:00
24,Alabama,06,"PALMER, GARY",Republican Party,Incumbent,1064593.26,634039,257800,0,981001.96,454279.16,0,2022-06-30 00:00:00
25,Alabama,07,"SEWELL, TERRI A.",Democratic Party,Incumbent,1678837.63,483903.88,1181747.82,0,996031.84,2926286.04,0,2022-06-30 00:00:00
26,Alabama,07,"NICHOLS, BEATRICE JACKSON",Republican Party,Challenger,21761.36,21761.36,0,0,20554.41,1206.95,0,2022-06-30 00:00:00
27,Alaska,00,"BYE, CHRIS",Libertarian Party,Open,5242.07,2327.18,99.27,2815.62,2044.61,3488.13,0,2022-06-30 00:00:00
28,Alaska,00,"COGHILL, JOHN B JR.",Republican Party,Open,26425,26425,0,0,23970.76,2454.24,0,2022-06-30 00:00:00
29,Alaska,00,"GROSS, ALAN",Independent,Open,707034.47,691030.94,16000,0,640070.49,66963.98,0,2022-06-30 00:00:00
30,Alaska,00,"LOWENFELS, JEFF",Non-Party,Open,153293.08,53293.08,0,100000,89002.7,14809.38,100000,2022-06-30 00:00:00
