,State,District,Candidate,Party,Incumbent/Challenger/Open,Receipts 18m,Contributions from Individuals 18m,Contributions from PACs and Other Committees 18m,Contributions and Loans from the Candidate 18m,Disbursements 18m,Cash On Hand,Debts 18m,Coverage End Date,Year,Candidate last name,Candidate first name,Candidate middle name
0,ALABAMA,1,CALLAHAN HERBERT L,Republican Party,Incumbent,257927,114203,129700,0,142460,217207,0,1990-06-30 00:00:00,1990,CALLAHAN,HERBERT,L
1,ALABAMA,2,DICKINSON WILLIAM LOUIS,Republican Party,Incumbent,231924,75664,124850,0,233622,419670,0,1990-06-30 00:00:00,1990,DICKINSON,WILLIAM,LOUIS
2,ALABAMA,2,BAGGIANO FAYE S,Democratic Party,Challenger,90050,16329,47300,16546,47480,42569,26535,1990-06-30 00:00:00,1990,BAGGIANO,FAYE,S
3,ALABAMA,3,ADAMS CHARLES H,Democratic Party,Open,277954,122590,19400,0,276975,978,55000,1990-06-30 00:00:00,1990,ADAMS,CHARLES,H
4,ALABAMA,3,DIAL GERALD OSCAR,Democratic Party,Open,108460,22420,14750,71290,108459,0,40894,1990-06-30 00:00:00,1990,DIAL,GERALD,OSCAR
5,ALABAMA,3,FORD JOHNNY,Democratic Party,Open,94150,72705,20375,515,94150,0,0,1989-12-31 00:00:00,1990,FORD,JOHNNY,
6,ALABAMA,3,HOLMES DONALD G,Democratic Party,Open,69328,26578,2750,40000,69328,0,0,1989-07-31 00:00:00,1990,HOLMES,DONALD,G
7,ALABAMA,3,JAMES MICHAEL K,Republican Party,Open,59767,32095,5750,20000,59766,0,0,1989-06-30 00:00:00,1990,JAMES,MICHAEL,K
8,ALABAMA,3,PREUITT JAMES E,Democratic Party,Open,370910,35460,10450,315000,370771,137,285000,1990-06-30 00:00:00,1990,PREUITT,JAMES,E
9,ALABAMA,3,RICE JOHN,Republican Party,Open,471297,240497,112750,32000,467297,0,62846,1989-12-31 00:00:00,1990,RICE,JOHN,
10,ALABAMA,3,ROBBINS RAY F II,Republican Party,Open,78242,25217,250,21000,78242,0,0,1989-12-31 00:00:00,1990,ROBBINS,RAY,F II
11,ALABAMA,3,BROWDER JOHN GLEN,Democratic Party,Incumbent,797985,237703,491725,16500,694183,103803,6184,1990-06-30 00:00:00,1990,BROWDER,JOHN,GLEN
12,ALABAMA,3,EVANS CHARLES RAY,Unknown,Challenger,20,0,0,20,20,0,0,1989-05-03 00:00:00,1990,EVANS,CHARLES,RAY
13,ALABAMA,3,SLEDGE DON,Republican Party,Challenger,11458,8824,100,2534,9240,2218,0,1990-06-30 00:00:00,1990,SLEDGE,DON,
14,ALABAMA,4,BEVILL TOM,Democratic Party,Incumbent,169831,16940,79650,0,116445,567033,0,1990-06-30 00:00:00,1990,BEVILL,TOM,
15,ALABAMA,5,ASQUITH JAMES EDWARD,Republican Party,Open,3103,2101,0,1000,2765,336,0,1990-06-30 00:00:00,1990,ASQUITH,JAMES,EDWARD
16,ALABAMA,5,CRAMER ROBERT E JR,Democratic Party,Open,364280,204748,71032,88500,347649,16629,94444,1990-06-30 00:00:00,1990,CRAMER,ROBERT,E JR
17,ALABAMA,5,FROST JAMES EDDIE,Democratic Party,Open,70611,63761,6750,0,70406,204,0,1990-06-30 00:00:00,1990,FROST,JAMES,EDDIE
18,ALABAMA,5,GREER BAYLESS LYNN,Democratic Party,Open,213374,86848,60700,65726,205782,7591,46837,1990-06-30 00:00:00,1990,GREER,BAYLESS,LYNN
19,ALABAMA,5,MCDONALD ALBERT CLYDE,Republican Party,Open,90732,64357,9800,11575,58704,32027,4400,1990-06-30 00:00:00,1990,MCDONALD,ALBERT,CLYDE
20,ALABAMA,5,PRATT EVELYN,Democratic Party,Open,56428,20135,5000,27293,56427,0,30543,1990-06-30 00:00:00,1990,PRATT,EVELYN,
21,ALABAMA,5,SPEARS WILLIAM EARL,Democratic Party,Open,5050,0,0,5050,3402,1648,5050,1990-05-24 00:00:00,1990,SPEARS,WILLIAM,EARL
